species_name,region_count,city_count,urban_tolerance
Macropygia tenuirostris,1,1,1.0
Ducula carola,1,1,1.0
Ducula poliocephala,1,0,0.0
Gallicolumba crinigera,1,0,0.0
Ramphiculus occipitalis,1,0,0.0
Treron axillaris,1,0,0.0
Phapitreron amethystinus,1,0,0.0
Phapitreron brevirostris,1,0,0.0
Phapitreron brunneiceps,1,0,0.0
Streptopelia dusumieri,1,0,0.0
Columba albitorques,1,1,1.0
Leptotila conoveri,1,0,0.0
Treron seimundi,1,0,0.0
Geotrygon versicolor,1,0,0.0
Patagioenas caribaea,1,0,0.0
Columba albinucha,1,0,0.0
Columba torringtoniae,1,0,0.0
Columba iriditorques,1,0,0.0
Turtur brehmeri,1,0,0.0
Columba janthina,1,0,0.0
Treron permagnus,1,0,0.0
Zentrygon chiriquensis,1,0,0.0
Zentrygon costaricensis,1,0,0.0
Geotrygon mystacea,1,0,0.0
Ptilinopus porphyreus,1,0,0.0
Treron oxyurus,1,0,0.0
Leptotila ochraceiventris,1,0,0.0
Columbina buckleyi,1,1,1.0
Leptotila pallida,1,0,0.0
Alectroenas madagascariensis,1,0,0.0
Nesoenas picturatus,1,0,0.0
Zentrygon lawrencii,1,0,0.0
Columba bollii,1,0,0.0
Geotrygon caniceps,1,0,0.0
Starnoenas cyanocephala,1,0,0.0
Macropygia magna,1,0,0.0
Ducula rosacea,1,0,0.0
Geopelia maugeus,1,0,0.0
Treron psittaceus,1,0,0.0
Turacoena modesta,1,0,0.0
Alopecoenas hoedtii,1,0,0.0
Geotrygon leucometopia,1,0,0.0
Columba delegorguei,2,0,0.0
Columbina cyanopis,2,0,0.0
Patagioenas nigrirostris,2,0,0.0
Hemiphaga novaeseelandiae,2,2,1.0
Geophaps scripta,2,0,0.0
Leptotila jamaicensis,2,0,0.0
Columba unicincta,2,0,0.0
Treron pompadora,2,1,0.5
Ducula lacernulata,2,0,0.0
Treron griseicauda,2,1,0.5
Streptopelia vinacea,2,1,0.5
Ptilinopus cinctus,2,0,0.0
Columba vitiensis,3,0,0.0
Ptilinopus melanospilus,3,1,0.33
Caloenas nicobarica,3,0,0.0
Columba pulchricollis,3,0,0.0
Treron delalandii,3,0,0.0
Chalcophaps longirostris,3,0,0.0
Megaloprepia magnifica,3,0,0.0
Ptilinopus superbus,3,0,0.0
Columba leucomela,3,0,0.0
Geopelia humeralis,3,2,0.67
Lopholaimus antarcticus,3,0,0.0
Macropygia phasianella,3,0,0.0
Uropelia campestris,3,0,0.0
Metriopelia aymara,3,0,0.0
Leptotila cassinii,3,0,0.0
Macropygia emiliana,3,0,0.0
Streptopelia bitorquata,3,1,0.33
Turtur abyssinicus,3,2,0.67
Patagioenas corensis,4,0,0.0
Leucosarcia melanoleuca,4,0,0.0
Columba leuconota,4,0,0.0
Columba punicea,4,0,0.0
Streptopelia decipiens,4,3,0.75
Treron waalia,4,0,0.0
Ptilinopus regina,4,0,0.0
Geotrygon chrysia,4,0,0.0
Patagioenas squamosa,4,1,0.25
Patagioenas araucana,4,2,0.5
Columbina cruziana,5,4,0.8
Metriopelia ceciliae,5,4,0.8
Patagioenas albipennis,5,0,0.0
Zenaida meloda,5,5,1.0
Geopelia placida,5,0,0.0
Streptopelia lugens,5,2,0.4
Patagioenas inornata,5,0,0.0
Leptotila plumbeiceps,6,0,0.0
Phaps chalcoptera,6,1,0.17
Phaps elegans,6,0,0.0
Ocyphaps lophotes,6,5,0.83
Columba rupestris,6,1,0.17
Zentrygon albifacies,6,0,0.0
Treron fulvicollis,6,0,0.0
Treron capellei,6,0,0.0
Zenaida aurita,6,2,0.33
Columba hodgsonii,7,0,0.0
Ramphiculus leclancheri,7,0,0.0
Treron apicauda,7,0,0.0
Macropygia unchall,7,0,0.0
Ramphiculus jambu,7,0,0.0
Treron olax,7,0,0.0
Patagioenas leucocephala,7,3,0.43
Zentrygon frenata,8,0,0.0
Ducula bicolor,8,2,0.25
Turtur afer,8,2,0.25
Treron formosae,8,0,0.0
Treron sphenurus,9,0,0.0
Zentrygon linearis,9,0,0.0
Aplopelia larvata,9,0,0.0
Macropygia ruficeps,9,0,0.0
Columba arquatrix,10,1,0.1
Columba elphinstonii,10,0,0.0
Treron calvus,10,1,0.1
Geopelia striata,11,11,1.0
Patagioenas maculosa,12,4,0.33
Treron phayrei,12,0,0.0
Turtur chalcospilos,12,1,0.08
Paraclaravis mondetoura,13,0,0.0
Treron vernans,13,11,0.85
Ducula badia,13,0,0.0
Turtur tympanistria,13,2,0.15
Columba guinea,13,11,0.85
Paraclaravis geoffroyi,14,0,0.0
Streptopelia roseogrisea,14,2,0.14
Metriopelia melanoptera,14,0,0.0
Streptopelia capicola,15,11,0.73
Treron sieboldii,15,0,0.0
Patagioenas subvinacea,17,0,0.0
Treron curvirostra,17,1,0.06
Patagioenas flavirostris,18,8,0.44
Streptopelia semitorquata,19,18,0.95
Patagioenas albilinea,20,0,0.0
Ducula cuprea,20,0,0.0
Columbina picui,21,14,0.67
Oena capensis,21,1,0.05
Geotrygon violacea,22,0,0.0
Columba eversmanni,22,0,0.0
Patagioenas picazuro,25,23,0.92
Columbina squammata,28,13,0.46
Patagioenas plumbea,28,0,0.0
Treron affinis,31,0,0.0
Leptotila rufaxilla,34,1,0.03
Patagioenas speciosa,37,0,0.0
Columbina inca,40,34,0.85
Patagioenas fasciata,41,1,0.02
Columbina minuta,46,2,0.04
Spilopelia chinensis,49,0,0.0
Treron bicinctus,52,1,0.02
Zenaida asiatica,53,38,0.72
Claravis pretiosa,54,0,0.0
Ducula aenea,57,2,0.04
Patagioenas cayennensis,58,15,0.26
Chalcophaps indica,60,2,0.03
Geotrygon montana,64,0,0.0
Zenaida auriculata,72,48,0.67
Columbina talpacoti,73,61,0.84
Leptotila verreauxi,82,33,0.4
Columbina passerina,84,17,0.2
Streptopelia orientalis,88,12,0.14
Streptopelia tranquebarica,92,19,0.21
Spilopelia suratensis,94,0,0.0
Treron phoenicopterus,100,21,0.21
Columba oenas,107,25,0.23
Spilopelia senegalensis,109,0,0.0
Streptopelia turtur,123,4,0.03
Columba palumbus,125,98,0.78
Zenaida macroura,138,110,0.8
Columba livia,222,222,1.0
Streptopelia decaocto,232,142,0.61
