system:index,biome_id,biome_name,city_id,eco_id,eco_name,nnh_id,nnh_name,realm,.geo
00000000000000000f16_00010000000000000029,2.0,Tropical & Subtropical Dry Broadleaf Forests,63,324,Sonoran-Sinaloan subtropical dry forest,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f17_00010000000000000162,13.0,Deserts & Xeric Shrublands,65,435,Sonoran desert,2,Nature Could Reach Half Protected,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f18_00010000000000000029,2.0,Tropical & Subtropical Dry Broadleaf Forests,66,324,Sonoran-Sinaloan subtropical dry forest,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f19_00010000000000000169,2.0,Tropical & Subtropical Dry Broadleaf Forests,73,545,Sinaloan dry forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f1a_00010000000000000169,2.0,Tropical & Subtropical Dry Broadleaf Forests,75,545,Sinaloan dry forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f1a_00010000000000000165,14.0,Mangroves,75,614,Northern Mesoamerican Pacific mangroves,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f1b_00010000000000000169,2.0,Tropical & Subtropical Dry Broadleaf Forests,81,545,Sinaloan dry forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f1b_00010000000000000168,3.0,Tropical & Subtropical Coniferous Forests,81,326,Sierra Madre Occidental pine-oak forests,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f1c_00010000000000000167,2.0,Tropical & Subtropical Dry Broadleaf Forests,83,534,Jalisco dry forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f1d_00010000000000000170,2.0,Tropical & Subtropical Dry Broadleaf Forests,122,547,Southern Pacific dry forests,4,Nature Imperiled,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f1d_00010000000000000165,14.0,Mangroves,122,614,Northern Mesoamerican Pacific mangroves,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f1e_0001000000000000017d,3.0,Tropical & Subtropical Coniferous Forests,208,557,Sierra Madre de Oaxaca pine-oak forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f1e_00010000000000000179,1.0,Tropical & Subtropical Moist Broadleaf Forests,208,494,Pet�n-Veracruz moist forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f1f_00010000000000000182,1.0,Tropical & Subtropical Moist Broadleaf Forests,209,514,Veracruz moist forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f20_0001000000000000017e,1.0,Tropical & Subtropical Moist Broadleaf Forests,219,487,Oaxacan montane forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f20_00010000000000000182,1.0,Tropical & Subtropical Moist Broadleaf Forests,219,514,Veracruz moist forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f21_00010000000000000180,14.0,Mangroves,222,613,Mesoamerican Gulf-Caribbean mangroves,1,Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f21_00010000000000000182,1.0,Tropical & Subtropical Moist Broadleaf Forests,222,514,Veracruz moist forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f22_00010000000000000181,2.0,Tropical & Subtropical Dry Broadleaf Forests,225,550,Veracruz dry forests,4,Nature Imperiled,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f22_00010000000000000179,1.0,Tropical & Subtropical Moist Broadleaf Forests,225,494,Pet�n-Veracruz moist forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f23_00010000000000000025,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",237,384,Western Gulf coastal grasslands,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f24_00010000000000000180,14.0,Mangroves,244,613,Mesoamerican Gulf-Caribbean mangroves,1,Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f24_00010000000000000179,1.0,Tropical & Subtropical Moist Broadleaf Forests,244,494,Pet�n-Veracruz moist forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f24_0001000000000000017f,1.0,Tropical & Subtropical Moist Broadleaf Forests,244,501,Sierra de los Tuxtlas,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f25_0001000000000000017a,2.0,Tropical & Subtropical Dry Broadleaf Forests,249,528,Chiapas Depression dry forests,4,Nature Imperiled,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f26_00010000000000000174,2.0,Tropical & Subtropical Dry Broadleaf Forests,252,527,Central American dry forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f26_00010000000000000173,1.0,Tropical & Subtropical Moist Broadleaf Forests,252,502,Sierra Madre de Chiapas moist forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f27_00010000000000000186,1.0,Tropical & Subtropical Moist Broadleaf Forests,255,489,Pantanos de Centla,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f28_00010000000000000175,3.0,Tropical & Subtropical Coniferous Forests,322,553,Central American pine-oak forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f28_00010000000000000176,1.0,Tropical & Subtropical Moist Broadleaf Forests,322,451,Central American montane forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f29_00010000000000000174,2.0,Tropical & Subtropical Dry Broadleaf Forests,347,527,Central American dry forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f2a_00010000000000000188,2.0,Tropical & Subtropical Dry Broadleaf Forests,352,551,Yucat�n dry forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f2b_00010000000000000174,2.0,Tropical & Subtropical Dry Broadleaf Forests,361,527,Central American dry forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
