system:index,biome_id,biome_name,city_id,eco_id,eco_name,nnh_id,nnh_name,realm,.geo
00000000000000000f2b_00010000000000000175,3.0,Tropical & Subtropical Coniferous Forests,361,553,Central American pine-oak forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f2c_00010000000000000174,2.0,Tropical & Subtropical Dry Broadleaf Forests,369,527,Central American dry forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f2c_0001000000000000010f,1.0,Tropical & Subtropical Moist Broadleaf Forests,369,458,Costa Rican seasonal moist forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f2d_0001000000000000010f,1.0,Tropical & Subtropical Moist Broadleaf Forests,394,458,Costa Rican seasonal moist forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f2e_00010000000000000187,1.0,Tropical & Subtropical Moist Broadleaf Forests,396,519,Yucat�n moist forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f2f_00010000000000000025,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",237,384,Western Gulf coastal grasslands,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f30_00010000000000000025,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",239,384,Western Gulf coastal grasslands,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5f_000100000000000000a2,10.0,Montane Grasslands & Shrublands,5923,756,Kopet Dag woodlands and forest steppe,3,Nature Could Recover,Palearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5f_000100000000000000a3,13.0,Deserts & Xeric Shrublands,5923,829,Kopet Dag semi-desert,2,Nature Could Reach Half Protected,Palearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a60_00010000000000000094,13.0,Deserts & Xeric Shrublands,5948,820,Central Persian desert basins,2,Nature Could Reach Half Protected,Palearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a61_0001000000000000005d,8.0,"Temperate Grasslands, Savannas & Shrublands",6041,721,Alai-Western Tian Shan steppe,4,Nature Imperiled,Palearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a62_00010000000000000059,8.0,"Temperate Grasslands, Savannas & Shrublands",6164,740,Tian Shan foothill arid steppe,3,Nature Could Recover,Palearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a62_0001000000000000005a,13.0,Deserts & Xeric Shrublands,6164,817,Central Asian northern desert,2,Nature Could Reach Half Protected,Palearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a63_000000000000000000e0,5.0,Temperate Conifer Forests,6208,709,Tian Shan montane conifer forests,4,Nature Imperiled,Palearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a63_00010000000000000059,8.0,"Temperate Grasslands, Savannas & Shrublands",6208,740,Tian Shan foothill arid steppe,3,Nature Could Recover,Palearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d4d_0001000000000000010a,2.0,Tropical & Subtropical Dry Broadleaf Forests,603,535,Jamaican dry forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d4d_00010000000000000108,14.0,Mangroves,603,612,Bahamian-Antillean mangroves,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d4d_00010000000000000109,1.0,Tropical & Subtropical Moist Broadleaf Forests,603,472,Jamaican moist forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e81_0001000000000000010a,2.0,Tropical & Subtropical Dry Broadleaf Forests,603,535,Jamaican dry forests,3,Nature Could Recover,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e81_00010000000000000108,14.0,Mangroves,603,612,Bahamian-Antillean mangroves,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e81_00010000000000000109,1.0,Tropical & Subtropical Moist Broadleaf Forests,603,472,Jamaican moist forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000109f_0001000000000000003c,2.0,Tropical & Subtropical Dry Broadleaf Forests,474,530,Cuban dry forests,4,Nature Imperiled,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000109f_0001000000000000003e,13.0,Deserts & Xeric Shrublands,474,600,Cuban cactus scrub,4,Nature Imperiled,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000109f_0001000000000000003a,14.0,Mangroves,474,612,Bahamian-Antillean mangroves,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000109f_0001000000000000003b,1.0,Tropical & Subtropical Moist Broadleaf Forests,474,459,Cuban moist forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010a0_0001000000000000003c,2.0,Tropical & Subtropical Dry Broadleaf Forests,662,530,Cuban dry forests,4,Nature Imperiled,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010a1_0001000000000000003c,2.0,Tropical & Subtropical Dry Broadleaf Forests,474,530,Cuban dry forests,4,Nature Imperiled,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010a1_0001000000000000003e,13.0,Deserts & Xeric Shrublands,474,600,Cuban cactus scrub,4,Nature Imperiled,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010a1_0001000000000000003a,14.0,Mangroves,474,612,Bahamian-Antillean mangroves,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010a1_0001000000000000003b,1.0,Tropical & Subtropical Moist Broadleaf Forests,474,459,Cuban moist forests,2,Nature Could Reach Half Protected,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010a2_0001000000000000003c,2.0,Tropical & Subtropical Dry Broadleaf Forests,607,530,Cuban dry forests,4,Nature Imperiled,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010a3_0001000000000000003c,2.0,Tropical & Subtropical Dry Broadleaf Forests,662,530,Cuban dry forests,4,Nature Imperiled,Neotropic,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000163d_0000000000000000017d,2.0,Tropical & Subtropical Dry Broadleaf Forests,13031,166,Timor and Wetar deciduous forests,3,Nature Could Recover,Australasia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000163e_0000000000000000017d,2.0,Tropical & Subtropical Dry Broadleaf Forests,13068,166,Timor and Wetar deciduous forests,3,Nature Could Recover,Australasia,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011ee_00000000000000000192,1.0,Tropical & Subtropical Moist Broadleaf Forests,11554,265,Peninsular Malaysian rain forests,2,Nature Could Reach Half Protected,Indomalayan,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbc_0001000000000000001e,8.0,"Temperate Grasslands, Savannas & Shrublands",250,391,Edwards Plateau savanna,2,Nature Could Reach Half Protected,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbc_0001000000000000001d,8.0,"Temperate Grasslands, Savannas & Shrublands",250,401,Texas blackland prairies,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbd_0001000000000000001e,8.0,"Temperate Grasslands, Savannas & Shrublands",274,391,Edwards Plateau savanna,2,Nature Could Reach Half Protected,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbd_0001000000000000001d,8.0,"Temperate Grasslands, Savannas & Shrublands",274,401,Texas blackland prairies,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbe_00010000000000000018,5.0,Temperate Conifer Forests,316,363,Piney Woods,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbe_00010000000000000016,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",316,384,Western Gulf coastal grasslands,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbe_0001000000000000001c,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",316,384,Western Gulf coastal grasslands,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbf_0001000000000000001d,8.0,"Temperate Grasslands, Savannas & Shrublands",324,401,Texas blackland prairies,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbf_0001000000000000001f,8.0,"Temperate Grasslands, Savannas & Shrublands",324,390,Cross-Timbers savanna-woodland,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc0_0001000000000000001f,8.0,"Temperate Grasslands, Savannas & Shrublands",351,390,Cross-Timbers savanna-woodland,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc0_00010000000000000020,8.0,"Temperate Grasslands, Savannas & Shrublands",351,389,Central-Southern US mixed grasslands,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc1_00010000000000000020,8.0,"Temperate Grasslands, Savannas & Shrublands",385,389,Central-Southern US mixed grasslands,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc2_0001000000000000001f,8.0,"Temperate Grasslands, Savannas & Shrublands",387,390,Cross-Timbers savanna-woodland,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc2_000100000000000001aa,8.0,"Temperate Grasslands, Savannas & Shrublands",387,388,Central Tallgrass prairie,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc3_00010000000000000189,4.0,Temperate Broadleaf & Mixed Forests,399,337,Mississippi lowland forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc3_00010000000000000017,8.0,"Temperate Grasslands, Savannas & Shrublands",399,399,Southeast US conifer savannas,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc4_00010000000000000189,4.0,Temperate Broadleaf & Mixed Forests,402,337,Mississippi lowland forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc5_000100000000000001aa,8.0,"Temperate Grasslands, Savannas & Shrublands",413,388,Central Tallgrass prairie,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc6_000100000000000001aa,8.0,"Temperate Grasslands, Savannas & Shrublands",419,388,Central Tallgrass prairie,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc7_00010000000000000189,4.0,Temperate Broadleaf & Mixed Forests,444,337,Mississippi lowland forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc7_00010000000000000019,8.0,"Temperate Grasslands, Savannas & Shrublands",444,399,Southeast US conifer savannas,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc8_000100000000000001aa,8.0,"Temperate Grasslands, Savannas & Shrublands",475,388,Central Tallgrass prairie,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc9_0001000000000000002d,4.0,Temperate Broadleaf & Mixed Forests,488,340,Ozark Highlands mixed forests,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc9_0001000000000000002e,8.0,"Temperate Grasslands, Savannas & Shrublands",488,387,Central US forest-grasslands transition,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cca_00010000000000000033,4.0,Temperate Broadleaf & Mixed Forests,532,336,Interior Plateau US Hardwood Forests,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ccb_000100000000000001f5,4.0,Temperate Broadleaf & Mixed Forests,557,343,Upper Midwest US forest-savanna transition,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ccb_000100000000000001aa,8.0,"Temperate Grasslands, Savannas & Shrublands",557,388,Central Tallgrass prairie,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ccc_00010000000000000034,4.0,Temperate Broadleaf & Mixed Forests,562,330,Appalachian Piedmont forests,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ccd_00010000000000000038,8.0,"Temperate Grasslands, Savannas & Shrublands",598,399,Southeast US conifer savannas,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cce_00010000000000000033,4.0,Temperate Broadleaf & Mixed Forests,627,336,Interior Plateau US Hardwood Forests,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cce_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,627,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ccf_00010000000000000205,8.0,"Temperate Grasslands, Savannas & Shrublands",628,397,Northern Tallgrass prairie,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd0_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,639,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd0_0001000000000000002e,8.0,"Temperate Grasslands, Savannas & Shrublands",639,387,Central US forest-grasslands transition,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd1_0001000000000000002e,8.0,"Temperate Grasslands, Savannas & Shrublands",640,387,Central US forest-grasslands transition,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd2_0001000000000000002e,8.0,"Temperate Grasslands, Savannas & Shrublands",642,387,Central US forest-grasslands transition,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd3_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,655,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd4_0001000000000000002e,8.0,"Temperate Grasslands, Savannas & Shrublands",666,387,Central US forest-grasslands transition,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd5_00010000000000000033,4.0,Temperate Broadleaf & Mixed Forests,669,336,Interior Plateau US Hardwood Forests,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd6_0001000000000000002e,8.0,"Temperate Grasslands, Savannas & Shrublands",679,387,Central US forest-grasslands transition,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd7_00010000000000000033,4.0,Temperate Broadleaf & Mixed Forests,685,336,Interior Plateau US Hardwood Forests,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd7_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,685,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd8_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,706,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd9_00010000000000000034,4.0,Temperate Broadleaf & Mixed Forests,711,330,Appalachian Piedmont forests,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cda_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,730,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cdb_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,734,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cdc_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,759,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cdd_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,775,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cde_00010000000000000034,4.0,Temperate Broadleaf & Mixed Forests,780,330,Appalachian Piedmont forests,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cdf_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,795,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cdf_000100000000000001a3,4.0,Temperate Broadleaf & Mixed Forests,795,334,Eastern Great Lakes lowland forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce0_00010000000000000031,4.0,Temperate Broadleaf & Mixed Forests,824,329,Appalachian mixed mesophytic forests,2,Nature Could Reach Half Protected,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce1_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,839,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce2_00010000000000000046,8.0,"Temperate Grasslands, Savannas & Shrublands",852,393,Mid-Atlantic US coastal savannas,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce2_00010000000000000047,8.0,"Temperate Grasslands, Savannas & Shrublands",852,393,Mid-Atlantic US coastal savannas,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce3_00010000000000000046,8.0,"Temperate Grasslands, Savannas & Shrublands",855,393,Mid-Atlantic US coastal savannas,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce3_00010000000000000047,8.0,"Temperate Grasslands, Savannas & Shrublands",855,393,Mid-Atlantic US coastal savannas,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce4_00010000000000000034,4.0,Temperate Broadleaf & Mixed Forests,860,330,Appalachian Piedmont forests,3,Nature Could Recover,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce4_00010000000000000048,4.0,Temperate Broadleaf & Mixed Forests,860,339,Northeast US Coastal forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce4_00010000000000000035,8.0,"Temperate Grasslands, Savannas & Shrublands",860,399,Southeast US conifer savannas,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce5_000100000000000001a3,4.0,Temperate Broadleaf & Mixed Forests,870,334,Eastern Great Lakes lowland forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce6_0001000000000000002f,4.0,Temperate Broadleaf & Mixed Forests,880,342,Southern Great Lakes forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce6_000100000000000001a3,4.0,Temperate Broadleaf & Mixed Forests,880,334,Eastern Great Lakes lowland forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce7_00010000000000000048,4.0,Temperate Broadleaf & Mixed Forests,885,339,Northeast US Coastal forests,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce7_00010000000000000035,8.0,"Temperate Grasslands, Savannas & Shrublands",885,399,Southeast US conifer savannas,4,Nature Imperiled,Nearctic,"{""type"":""MultiPoint"",""coordinates"":[]}"
