species_name,region_count,city_count,urban_tolerance
Columba albitorques,1,1,1.0
Ramphiculus marchei,1,0,0.0
Goura sclaterii,1,0,0.0
Otidiphaps nobilis,1,0,0.0
Leptotila conoveri,1,1,1.0
Geotrygon versicolor,1,0,0.0
Patagioenas caribaea,1,1,1.0
Columba torringtoniae,1,1,1.0
Nesoenas mayeri,1,1,1.0
Geotrygon saphirina,1,0,0.0
Otidiphaps cervicalis,1,0,0.0
Ducula spilorrhoa,1,1,1.0
Goura scheepmakeri,1,0,0.0
Columba janthina,1,0,0.0
Treron permagnus,1,0,0.0
Zentrygon chiriquensis,1,0,0.0
Zentrygon costaricensis,1,0,0.0
Geotrygon mystacea,1,0,0.0
Treron oxyurus,1,0,0.0
Alectroenas madagascariensis,1,1,1.0
Patagioenas goodsoni,1,0,0.0
Zentrygon lawrencii,1,0,0.0
Columba bollii,1,0,0.0
Streptopelia hypopyrrha,1,1,1.0
Leptotila megalura,1,0,0.0
Streptopelia xanthocycla,1,0,0.0
Geotrygon leucometopia,1,0,0.0
Phapitreron nigrorum,1,0,0.0
Macropygia magna,2,0,0.0
Ducula rosacea,2,0,0.0
Geopelia maugeus,2,2,1.0
Treron psittaceus,2,0,0.0
Turacoena modesta,2,0,0.0
Alopecoenas hoedtii,2,0,0.0
Cryptophaps poecilorrhoa,2,0,0.0
Ducula radiata,2,0,0.0
Ducula forsteni,2,0,0.0
Ramphiculus merrilli,2,0,0.0
Columba delegorguei,2,0,0.0
Columbina cyanopis,2,0,0.0
Patagioenas nigrirostris,2,0,0.0
Ducula pinon,2,1,0.5
Ducula rufigaster,2,0,0.0
Ducula zoeae,2,0,0.0
Henicophaps albifrons,2,0,0.0
Macropygia nigrirostris,2,1,0.5
Ptilinopus aurantiifrons,2,0,0.0
Ptilinopus iozonus,2,1,0.5
Ptilinopus nainus,2,0,0.0
Ptilinopus perlatus,2,0,0.0
Reinwardtoena reinwardti,2,0,0.0
Trugon terrestris,2,0,0.0
Gallicolumba rufigula,2,0,0.0
Ptilinopus coronulatus,2,0,0.0
Alopecoenas jobiensis,2,0,0.0
Hemiphaga novaeseelandiae,2,2,1.0
Geophaps scripta,2,0,0.0
Leptotila jamaicensis,2,2,1.0
Treron pompadora,2,2,1.0
Nesoenas picturatus,2,0,0.0
Leptotila ochraceiventris,2,0,0.0
Ptilinopus cinctus,3,2,0.67
Turacoena manadensis,3,0,0.0
Ducula luctuosa,3,0,0.0
Ramphiculus epius,3,0,0.0
Ptilinopus temminckii,3,0,0.0
Gallicolumba tristigmata,3,0,0.0
Treron delalandii,3,0,0.0
Columba leucomela,3,3,1.0
Lopholaimus antarcticus,3,3,1.0
Macropygia phasianella,3,3,1.0
Treron seimundi,3,1,0.33
Leptotila cassinii,3,2,0.67
Columba albinucha,3,0,0.0
Geotrygon caniceps,3,0,0.0
Starnoenas cyanocephala,3,0,0.0
Columbina buckleyi,3,3,1.0
Leptotila pallida,3,2,0.67
Gallicolumba crinigera,4,0,0.0
Phapitreron brevirostris,4,0,0.0
Phapitreron brunneiceps,4,0,0.0
Leucosarcia melanoleuca,4,3,0.75
Gallicolumba luzonica,4,0,0.0
Phapitreron leucotis,4,0,0.0
Geopelia humeralis,4,4,1.0
Ducula lacernulata,4,1,0.25
Ptilinopus porphyreus,4,1,0.25
Metriopelia aymara,4,1,0.25
Patagioenas araucana,4,4,1.0
Chalcophaps longirostris,5,3,0.6
Ptilinopus regina,5,4,0.8
Macropygia amboinensis,5,1,0.2
Chalcophaps stephani,5,0,0.0
Megaloprepia magnifica,5,0,0.0
Ptilinopus superbus,5,1,0.2
Uropelia campestris,5,0,0.0
Columba pulchricollis,6,1,0.17
Patagioenas corensis,6,3,0.5
Phaps chalcoptera,6,6,1.0
Phaps elegans,6,4,0.67
Geopelia placida,6,6,1.0
Ocyphaps lophotes,6,6,1.0
Zentrygon albifacies,6,3,0.5
Leptotila plumbeiceps,7,2,0.29
Columba leuconota,7,0,0.0
Metriopelia ceciliae,7,6,0.86
Streptopelia bitorquata,8,4,0.5
Caloenas nicobarica,8,0,0.0
Macropygia tenuirostris,8,3,0.38
Ducula carola,8,1,0.13
Phapitreron amethystinus,8,1,0.13
Treron griseicauda,8,3,0.38
Patagioenas albipennis,8,0,0.0
Geotrygon chrysia,8,0,0.0
Patagioenas squamosa,8,5,0.63
Macropygia emiliana,8,1,0.13
Treron formosae,8,1,0.13
Ducula poliocephala,9,0,0.0
Ramphiculus occipitalis,9,0,0.0
Treron axillaris,9,3,0.33
Streptopelia dusumieri,9,1,0.11
Columbina cruziana,9,9,1.0
Zenaida meloda,9,9,1.0
Columba unicincta,9,1,0.11
Patagioenas inornata,9,4,0.44
Zentrygon frenata,10,1,0.1
Treron capellei,10,1,0.1
Columba punicea,10,2,0.2
Columba iriditorques,10,1,0.1
Zenaida aurita,10,9,0.9
Streptopelia lugens,11,8,0.73
Treron olax,11,5,0.45
Turtur brehmeri,11,1,0.09
Patagioenas leucocephala,11,8,0.73
Treron fulvicollis,12,1,0.08
Columba hodgsonii,13,2,0.15
Ptilinopus melanospilus,13,2,0.15
Zentrygon linearis,13,2,0.15
Columba vitiensis,14,1,0.07
Ramphiculus jambu,14,0,0.0
Paraclaravis mondetoura,15,0,0.0
Treron apicauda,15,1,0.07
Macropygia ruficeps,15,2,0.13
Ramphiculus leclancheri,15,0,0.0
Columba arquatrix,15,5,0.33
Columba elphinstonii,16,1,0.06
Turtur abyssinicus,16,8,0.5
Streptopelia vinacea,16,13,0.81
Metriopelia melanoptera,16,10,0.63
Treron waalia,18,5,0.28
Treron sphenurus,19,6,0.32
Streptopelia decipiens,20,15,0.75
Aplopelia larvata,20,0,0.0
Paraclaravis geoffroyi,20,0,0.0
Macropygia unchall,21,4,0.19
Ducula bicolor,21,8,0.38
Patagioenas maculosa,21,12,0.57
Turtur chalcospilos,22,16,0.73
Ducula cuprea,22,0,0.0
Ducula badia,23,2,0.09
Patagioenas albilinea,25,0,0.0
Streptopelia roseogrisea,25,17,0.68
Patagioenas subvinacea,26,13,0.5
Patagioenas flavirostris,26,21,0.81
Treron phayrei,27,2,0.07
Columba rupestris,27,6,0.22
Streptopelia capicola,27,23,0.85
Geotrygon violacea,32,1,0.03
Geopelia striata,33,33,1.0
Columbina picui,34,32,0.94
Treron curvirostra,35,10,0.29
Treron vernans,35,25,0.71
Turtur tympanistria,35,19,0.54
Columba guinea,36,33,0.92
Turtur afer,39,23,0.59
Treron calvus,39,15,0.38
Treron affinis,39,21,0.54
Treron sieboldii,40,13,0.33
Patagioenas plumbea,41,12,0.29
Patagioenas fasciata,48,29,0.6
Patagioenas picazuro,49,47,0.96
Columbina squammata,49,37,0.76
Columba eversmanni,51,2,0.04
Oena capensis,52,25,0.48
Streptopelia semitorquata,52,50,0.96
Patagioenas speciosa,56,11,0.2
Columbina inca,56,56,1.0
Leptotila rufaxilla,58,30,0.52
Columbina minuta,73,36,0.49
Zenaida asiatica,73,72,0.99
Claravis pretiosa,84,17,0.2
Patagioenas cayennensis,94,56,0.6
Treron bicinctus,98,19,0.19
