species_name,region_count,city_count,urban_tolerance
Geotrygon montana,102,18,0.18
Spilopelia chinensis,103,0,0.0
Chalcophaps indica,104,50,0.48
Ducula aenea,110,17,0.15
Columbina passerina,113,92,0.81
Columbina talpacoti,115,105,0.91
Zenaida auriculata,116,101,0.87
Leptotila verreauxi,128,113,0.88
Zenaida macroura,158,151,0.96
Columba oenas,171,111,0.65
Spilopelia suratensis,190,0,0.0
Treron phoenicopterus,204,120,0.59
Columba palumbus,210,183,0.87
Streptopelia tranquebarica,211,126,0.6
Streptopelia orientalis,222,117,0.53
Streptopelia turtur,231,107,0.46
Spilopelia senegalensis,266,0,0.0
Columba livia,413,412,1.0
Streptopelia decaocto,441,353,0.8
